,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
9574,37.0,blue-collar,married,secondary,no,5334.0,no,no,unknown,6.0,jun,58.0,1.0,-1.0,0.0,unknown,1
4590,43.0,blue-collar,married,primary,no,0.0,yes,no,unknown,20.0,may,592.0,1.0,-1.0,0.0,unknown,1
38000,47.0,entrepreneur,married,unknown,no,676.0,yes,yes,cellular,14.0,may,204.0,2.0,364.0,3.0,failure,1
22947,54.0,management,divorced,tertiary,no,2625.0,yes,no,cellular,26.0,aug,67.0,3.0,-1.0,0.0,unknown,1
26385,38.0,blue-collar,married,primary,no,433.0,no,no,cellular,20.0,nov,81.0,2.0,136.0,3.0,failure,1
41652,45.0,housemaid,married,secondary,no,4068.0,no,no,cellular,30.0,sep,314.0,1.0,41.0,1.0,success,1
36306,39.0,technician,married,secondary,no,381.0,yes,no,cellular,11.0,may,758.0,1.0,347.0,2.0,failure,1
19705,32.0,management,single,tertiary,no,474.0,yes,no,cellular,7.0,aug,90.0,3.0,-1.0,0.0,unknown,1
6869,32.0,admin.,single,secondary,no,562.0,yes,no,unknown,28.0,may,116.0,6.0,-1.0,0.0,unknown,1
17666,41.0,admin.,divorced,secondary,no,261.0,yes,no,cellular,29.0,jul,797.0,15.0,-1.0,0.0,unknown,1
14634,34.0,technician,married,secondary,no,0.0,yes,no,cellular,15.0,jul,144.0,1.0,-1.0,0.0,unknown,1
36278,44.0,management,married,secondary,no,491.0,yes,yes,cellular,11.0,may,40.0,4.0,-1.0,0.0,unknown,1
28299,28.0,services,single,secondary,no,60.0,no,yes,cellular,29.0,jan,248.0,1.0,-1.0,0.0,unknown,1
20960,42.0,technician,married,secondary,no,27.0,no,no,cellular,14.0,aug,259.0,4.0,-1.0,0.0,unknown,1
6076,47.0,management,married,tertiary,no,-1379.0,yes,no,unknown,27.0,may,114.0,3.0,-1.0,0.0,unknown,1
8128,61.0,retired,married,primary,no,-156.0,yes,yes,unknown,2.0,jun,283.0,5.0,-1.0,0.0,unknown,1
5889,37.0,blue-collar,married,primary,no,-88.0,yes,no,unknown,26.0,may,225.0,1.0,-1.0,0.0,unknown,1
20603,49.0,blue-collar,married,primary,no,128.0,no,no,cellular,12.0,aug,696.0,2.0,-1.0,0.0,unknown,2
42334,59.0,self-employed,married,tertiary,no,2013.0,no,no,cellular,17.0,nov,409.0,2.0,-1.0,0.0,unknown,2
38455,52.0,blue-collar,married,primary,no,2396.0,yes,no,cellular,15.0,may,48.0,7.0,-1.0,0.0,unknown,1
9156,55.0,management,single,tertiary,no,7025.0,no,no,unknown,5.0,jun,139.0,3.0,-1.0,0.0,unknown,1
24836,53.0,technician,divorced,secondary,no,4856.0,yes,no,cellular,18.0,nov,151.0,1.0,-1.0,0.0,unknown,1
3251,45.0,blue-collar,married,secondary,no,-149.0,yes,no,unknown,15.0,may,644.0,2.0,-1.0,0.0,unknown,1
446,39.0,technician,single,unknown,no,45248.0,yes,no,unknown,6.0,may,1623.0,1.0,-1.0,0.0,unknown,2
32436,33.0,technician,married,tertiary,no,67.0,yes,no,cellular,16.0,apr,137.0,2.0,-1.0,0.0,unknown,1
25835,35.0,unemployed,married,tertiary,no,816.0,yes,no,cellular,19.0,nov,547.0,7.0,-1.0,0.0,unknown,1
34223,25.0,services,single,secondary,no,642.0,yes,yes,cellular,4.0,may,364.0,2.0,-1.0,0.0,unknown,1
14744,35.0,blue-collar,single,secondary,no,885.0,yes,no,cellular,15.0,jul,632.0,6.0,-1.0,0.0,unknown,2
42082,61.0,retired,married,primary,no,8729.0,no,no,cellular,30.0,oct,480.0,1.0,-1.0,0.0,unknown,2
18755,37.0,admin.,married,secondary,no,5132.0,no,no,cellular,31.0,jul,536.0,8.0,-1.0,0.0,unknown,1
17202,35.0,self-employed,married,secondary,no,5613.0,yes,no,cellular,28.0,jul,699.0,3.0,-1.0,0.0,unknown,2
2796,39.0,technician,married,secondary,yes,-183.0,yes,no,unknown,14.0,may,202.0,2.0,-1.0,0.0,unknown,1
2318,46.0,admin.,married,secondary,no,250.0,no,no,unknown,13.0,may,85.0,2.0,-1.0,0.0,unknown,1
5443,32.0,admin.,single,secondary,no,127.0,yes,no,unknown,23.0,may,189.0,2.0,-1.0,0.0,unknown,1
10364,38.0,services,single,primary,no,556.0,yes,no,unknown,12.0,jun,113.0,1.0,-1.0,0.0,unknown,1
34822,32.0,blue-collar,single,primary,no,181.0,yes,no,cellular,6.0,may,90.0,1.0,-1.0,0.0,unknown,1
19693,34.0,technician,single,secondary,no,0.0,no,no,cellular,7.0,aug,181.0,3.0,-1.0,0.0,unknown,1
13186,36.0,services,married,secondary,no,30.0,no,yes,cellular,8.0,jul,716.0,5.0,-1.0,0.0,unknown,2
21192,52.0,blue-collar,married,primary,no,66653.0,no,no,cellular,14.0,aug,109.0,3.0,-1.0,0.0,unknown,1
24253,39.0,admin.,married,secondary,no,401.0,yes,no,cellular,17.0,nov,396.0,1.0,129.0,2.0,failure,1
41049,54.0,retired,married,tertiary,no,1778.0,no,no,cellular,14.0,aug,319.0,1.0,268.0,2.0,failure,1
10464,33.0,blue-collar,divorced,secondary,no,1.0,no,no,unknown,16.0,jun,66.0,5.0,-1.0,0.0,unknown,1
26401,32.0,entrepreneur,married,tertiary,no,3192.0,no,no,cellular,20.0,nov,44.0,1.0,-1.0,0.0,unknown,1
11231,48.0,self-employed,single,unknown,no,0.0,no,no,unknown,18.0,jun,453.0,1.0,-1.0,0.0,unknown,1
36584,47.0,services,married,secondary,no,216.0,yes,no,cellular,12.0,may,104.0,3.0,371.0,2.0,failure,1
14680,54.0,retired,married,tertiary,no,4104.0,no,no,cellular,15.0,jul,68.0,8.0,-1.0,0.0,unknown,1
33916,59.0,management,married,tertiary,no,1729.0,no,no,cellular,30.0,apr,119.0,1.0,-1.0,0.0,unknown,1
40359,27.0,self-employed,single,tertiary,no,147.0,no,no,cellular,22.0,jun,111.0,5.0,-1.0,0.0,unknown,1
27938,54.0,admin.,married,secondary,yes,-1089.0,no,yes,cellular,28.0,jan,105.0,2.0,-1.0,0.0,unknown,1
33353,44.0,admin.,divorced,secondary,no,-43.0,yes,yes,cellular,20.0,apr,206.0,1.0,-1.0,0.0,unknown,1
12274,50.0,admin.,single,secondary,no,1318.0,no,yes,unknown,24.0,jun,146.0,3.0,-1.0,0.0,unknown,1
44426,38.0,services,married,secondary,no,4017.0,no,no,cellular,4.0,aug,470.0,1.0,96.0,3.0,success,2
34900,32.0,technician,single,secondary,no,-569.0,yes,no,cellular,6.0,may,107.0,1.0,-1.0,0.0,unknown,1
14908,30.0,admin.,single,secondary,no,-36.0,no,no,cellular,16.0,jul,561.0,9.0,-1.0,0.0,unknown,2
44612,36.0,admin.,single,tertiary,no,364.0,no,yes,cellular,31.0,aug,185.0,1.0,123.0,1.0,failure,2
4412,35.0,blue-collar,married,secondary,no,1602.0,yes,yes,unknown,20.0,may,171.0,1.0,-1.0,0.0,unknown,1
8873,52.0,blue-collar,single,secondary,no,510.0,yes,no,unknown,4.0,jun,324.0,1.0,-1.0,0.0,unknown,1
42657,62.0,blue-collar,married,secondary,no,180.0,no,no,cellular,14.0,jan,183.0,1.0,90.0,4.0,other,2
34571,28.0,blue-collar,married,secondary,no,1590.0,no,no,cellular,5.0,may,78.0,4.0,-1.0,0.0,unknown,1
4713,33.0,unemployed,divorced,secondary,no,1005.0,yes,no,unknown,20.0,may,229.0,2.0,-1.0,0.0,unknown,1
22477,33.0,management,single,tertiary,no,112.0,no,no,cellular,22.0,aug,112.0,4.0,-1.0,0.0,unknown,1
30978,49.0,housemaid,divorced,secondary,no,267.0,no,no,telephone,9.0,feb,23.0,5.0,-1.0,0.0,unknown,1
6442,38.0,blue-collar,single,secondary,no,5891.0,yes,no,unknown,27.0,may,160.0,3.0,-1.0,0.0,unknown,1
22965,39.0,housemaid,married,unknown,no,0.0,no,no,cellular,26.0,aug,92.0,2.0,-1.0,0.0,unknown,1
29313,39.0,services,married,secondary,no,52.0,no,no,telephone,2.0,feb,1420.0,3.0,-1.0,0.0,unknown,2
23129,31.0,management,single,tertiary,no,1.0,no,no,cellular,26.0,aug,107.0,5.0,-1.0,0.0,unknown,1
41753,83.0,retired,married,unknown,no,4216.0,no,no,cellular,12.0,oct,92.0,1.0,-1.0,0.0,unknown,1
42249,36.0,entrepreneur,married,secondary,no,2971.0,no,no,cellular,12.0,nov,247.0,1.0,97.0,8.0,failure,2
7377,49.0,management,married,tertiary,no,-151.0,yes,no,unknown,29.0,may,119.0,2.0,-1.0,0.0,unknown,1
26488,37.0,technician,single,secondary,no,-272.0,no,yes,cellular,20.0,nov,104.0,3.0,139.0,6.0,failure,1
26021,35.0,management,single,tertiary,no,1902.0,no,no,cellular,19.0,nov,188.0,5.0,-1.0,0.0,unknown,1
28349,56.0,blue-collar,married,primary,no,420.0,yes,no,cellular,29.0,jan,129.0,1.0,265.0,1.0,failure,1
22588,47.0,blue-collar,married,secondary,no,4709.0,no,no,cellular,22.0,aug,78.0,4.0,-1.0,0.0,unknown,1
34920,30.0,blue-collar,married,secondary,no,5903.0,yes,no,cellular,6.0,may,231.0,1.0,363.0,1.0,failure,1
36876,44.0,technician,single,secondary,no,285.0,yes,no,cellular,12.0,may,373.0,3.0,-1.0,0.0,unknown,1
33978,57.0,retired,married,tertiary,no,478.0,no,no,cellular,30.0,apr,70.0,1.0,84.0,1.0,failure,1
24928,53.0,blue-collar,married,primary,no,53.0,yes,no,cellular,18.0,nov,198.0,1.0,-1.0,0.0,unknown,1
15908,50.0,management,married,tertiary,no,4315.0,yes,no,cellular,22.0,jul,181.0,11.0,-1.0,0.0,unknown,1
12983,46.0,blue-collar,married,primary,no,14.0,no,no,cellular,7.0,jul,407.0,1.0,-1.0,0.0,unknown,1
30043,36.0,blue-collar,married,primary,no,347.0,no,no,cellular,4.0,feb,167.0,2.0,-1.0,0.0,unknown,1
33064,38.0,management,single,tertiary,no,667.0,yes,no,cellular,17.0,apr,479.0,2.0,-1.0,0.0,unknown,1
8103,33.0,technician,single,secondary,no,77.0,yes,yes,unknown,2.0,jun,354.0,1.0,-1.0,0.0,unknown,1
6757,32.0,management,married,tertiary,no,514.0,yes,no,unknown,28.0,may,497.0,2.0,-1.0,0.0,unknown,1
36701,28.0,admin.,single,secondary,no,242.0,yes,yes,cellular,12.0,may,256.0,1.0,349.0,1.0,failure,1
23337,47.0,technician,divorced,secondary,no,598.0,no,no,cellular,27.0,aug,120.0,8.0,-1.0,0.0,unknown,1
23661,48.0,blue-collar,married,primary,no,323.0,no,no,cellular,28.0,aug,158.0,10.0,-1.0,0.0,unknown,1
8810,24.0,student,single,secondary,no,2726.0,yes,no,unknown,4.0,jun,283.0,1.0,-1.0,0.0,unknown,1
38829,28.0,student,single,secondary,no,404.0,yes,no,cellular,18.0,may,33.0,2.0,367.0,4.0,other,1
16199,37.0,admin.,married,secondary,no,1110.0,yes,no,telephone,22.0,jul,802.0,11.0,-1.0,0.0,unknown,2
14182,40.0,admin.,single,secondary,no,-186.0,yes,yes,cellular,11.0,jul,154.0,2.0,-1.0,0.0,unknown,1
32300,35.0,blue-collar,married,secondary,no,485.0,yes,no,cellular,16.0,apr,49.0,1.0,-1.0,0.0,unknown,1
2937,41.0,blue-collar,married,secondary,no,235.0,yes,no,unknown,14.0,may,181.0,1.0,-1.0,0.0,unknown,1
11994,57.0,blue-collar,married,primary,no,1592.0,no,yes,unknown,20.0,jun,78.0,4.0,-1.0,0.0,unknown,1
3093,45.0,entrepreneur,married,secondary,no,245.0,yes,no,unknown,14.0,may,126.0,3.0,-1.0,0.0,unknown,1
44979,24.0,student,single,secondary,no,1809.0,no,no,cellular,11.0,oct,165.0,1.0,95.0,2.0,success,2
16983,46.0,technician,married,secondary,no,-220.0,yes,no,cellular,25.0,jul,203.0,1.0,-1.0,0.0,unknown,1
20359,53.0,self-employed,married,primary,no,2639.0,no,no,cellular,11.0,aug,304.0,4.0,-1.0,0.0,unknown,1
30922,39.0,blue-collar,married,secondary,no,20.0,yes,no,cellular,9.0,feb,686.0,5.0,279.0,1.0,failure,1
23817,40.0,management,married,tertiary,no,194.0,no,yes,cellular,29.0,aug,189.0,2.0,-1.0,0.0,unknown,1
1347,41.0,technician,married,secondary,no,225.0,yes,yes,unknown,8.0,may,63.0,2.0,-1.0,0.0,unknown,1
25304,40.0,technician,married,secondary,no,7313.0,yes,no,cellular,18.0,nov,241.0,2.0,182.0,1.0,failure,1
236,53.0,admin.,divorced,secondary,no,315.0,yes,no,unknown,5.0,may,181.0,2.0,-1.0,0.0,unknown,1
28926,53.0,services,married,secondary,no,660.0,no,no,cellular,2.0,feb,210.0,1.0,272.0,2.0,failure,1
36975,36.0,admin.,divorced,secondary,no,1089.0,yes,no,telephone,13.0,may,83.0,5.0,175.0,4.0,other,1
36891,49.0,management,divorced,tertiary,no,108.0,yes,no,cellular,12.0,may,288.0,2.0,350.0,2.0,failure,1
35112,60.0,management,married,tertiary,no,6.0,yes,no,cellular,6.0,may,787.0,3.0,-1.0,0.0,unknown,1
38917,26.0,self-employed,single,tertiary,no,16563.0,yes,no,cellular,18.0,may,245.0,1.0,-1.0,0.0,unknown,1
15250,29.0,services,married,secondary,no,3220.0,no,no,cellular,17.0,jul,172.0,3.0,-1.0,0.0,unknown,1
5157,44.0,retired,married,primary,no,779.0,yes,no,unknown,21.0,may,233.0,3.0,-1.0,0.0,unknown,1
13185,51.0,retired,married,secondary,no,35.0,no,yes,cellular,8.0,jul,123.0,4.0,-1.0,0.0,unknown,1
1544,33.0,unemployed,single,secondary,no,177.0,no,no,unknown,8.0,may,75.0,4.0,-1.0,0.0,unknown,1
36702,39.0,management,married,tertiary,no,266.0,yes,yes,cellular,12.0,may,251.0,1.0,-1.0,0.0,unknown,1
15096,30.0,management,married,tertiary,no,248.0,no,no,cellular,17.0,jul,692.0,1.0,-1.0,0.0,unknown,1
14309,60.0,retired,married,tertiary,no,0.0,no,no,telephone,14.0,jul,363.0,3.0,-1.0,0.0,unknown,1
33001,35.0,blue-collar,married,primary,no,373.0,no,no,cellular,17.0,apr,335.0,2.0,-1.0,0.0,unknown,1
31520,46.0,self-employed,married,secondary,no,-30.0,yes,yes,cellular,2.0,apr,164.0,1.0,300.0,2.0,failure,1
26587,30.0,services,married,secondary,no,10667.0,no,no,cellular,20.0,nov,140.0,1.0,-1.0,0.0,unknown,1
21957,42.0,housemaid,married,primary,no,145.0,no,no,cellular,20.0,aug,252.0,2.0,-1.0,0.0,unknown,1
20797,51.0,management,divorced,tertiary,no,0.0,no,no,cellular,13.0,aug,60.0,2.0,-1.0,0.0,unknown,1
42181,81.0,retired,divorced,unknown,no,9224.0,no,no,telephone,9.0,nov,235.0,2.0,-1.0,0.0,unknown,1
22373,52.0,management,married,secondary,no,189.0,no,no,cellular,22.0,aug,90.0,2.0,-1.0,0.0,unknown,1
19370,33.0,management,single,tertiary,no,1097.0,no,yes,cellular,6.0,aug,308.0,4.0,-1.0,0.0,unknown,1
36029,57.0,self-employed,married,primary,no,-34.0,yes,yes,cellular,11.0,may,108.0,6.0,371.0,2.0,failure,1
9567,53.0,technician,married,primary,no,44.0,no,no,unknown,6.0,jun,256.0,1.0,-1.0,0.0,unknown,1
32755,37.0,admin.,married,primary,no,188.0,yes,no,cellular,17.0,apr,153.0,1.0,-1.0,0.0,unknown,1
5034,34.0,retired,married,primary,no,4499.0,no,no,unknown,21.0,may,1681.0,1.0,-1.0,0.0,unknown,2
10505,51.0,management,married,secondary,no,2216.0,yes,yes,unknown,16.0,jun,95.0,8.0,-1.0,0.0,unknown,1
7341,33.0,student,single,tertiary,no,254.0,yes,no,unknown,29.0,may,558.0,13.0,-1.0,0.0,unknown,1
45100,34.0,blue-collar,married,secondary,no,152.0,no,no,cellular,25.0,oct,275.0,1.0,-1.0,0.0,unknown,1
7767,35.0,blue-collar,married,secondary,no,698.0,yes,yes,unknown,30.0,may,1343.0,3.0,-1.0,0.0,unknown,2
6503,37.0,technician,married,secondary,no,427.0,yes,yes,unknown,27.0,may,335.0,3.0,-1.0,0.0,unknown,1
33337,39.0,technician,married,tertiary,no,1524.0,no,no,cellular,20.0,apr,567.0,1.0,-1.0,0.0,unknown,2
28642,46.0,management,divorced,tertiary,no,-154.0,yes,yes,cellular,29.0,jan,150.0,2.0,247.0,2.0,failure,1
44720,36.0,admin.,married,secondary,no,194.0,yes,yes,cellular,7.0,sep,120.0,3.0,-1.0,0.0,unknown,1
7085,41.0,blue-collar,married,secondary,no,1020.0,yes,no,unknown,29.0,may,276.0,1.0,-1.0,0.0,unknown,1
36662,30.0,self-employed,married,secondary,no,8563.0,yes,no,cellular,12.0,may,109.0,1.0,351.0,4.0,other,1
41666,63.0,housemaid,married,primary,no,333.0,no,no,telephone,1.0,oct,321.0,1.0,-1.0,0.0,unknown,1
42250,72.0,retired,married,primary,no,3232.0,no,no,cellular,12.0,nov,771.0,2.0,-1.0,0.0,unknown,1
17700,50.0,services,married,unknown,no,1688.0,no,no,telephone,29.0,jul,156.0,2.0,-1.0,0.0,unknown,1
29403,31.0,services,single,tertiary,no,620.0,no,no,cellular,2.0,feb,189.0,1.0,-1.0,0.0,unknown,1
44089,37.0,technician,married,secondary,no,432.0,yes,no,cellular,6.0,jul,386.0,3.0,776.0,55.0,failure,2
40660,58.0,management,married,tertiary,no,138.0,yes,yes,cellular,6.0,aug,107.0,4.0,-1.0,0.0,unknown,1
11537,54.0,housemaid,married,primary,no,774.0,no,no,unknown,19.0,jun,290.0,1.0,-1.0,0.0,unknown,1
12161,41.0,management,married,tertiary,no,2031.0,yes,no,unknown,20.0,jun,7.0,3.0,-1.0,0.0,unknown,1
26725,53.0,blue-collar,single,primary,no,7724.0,no,no,cellular,20.0,nov,196.0,2.0,-1.0,0.0,unknown,1
32738,33.0,admin.,married,primary,no,499.0,no,no,cellular,17.0,apr,95.0,3.0,-1.0,0.0,unknown,1
13444,45.0,services,divorced,secondary,no,5758.0,yes,no,telephone,9.0,jul,16.0,1.0,-1.0,0.0,unknown,1
18314,35.0,services,married,secondary,no,1694.0,no,yes,cellular,31.0,jul,55.0,6.0,-1.0,0.0,unknown,1
24971,34.0,admin.,married,tertiary,no,3520.0,no,no,cellular,18.0,nov,95.0,1.0,-1.0,0.0,unknown,1
37667,31.0,self-employed,single,tertiary,no,17924.0,yes,no,cellular,14.0,may,745.0,1.0,174.0,3.0,failure,2
640,55.0,management,single,secondary,no,220.0,yes,no,unknown,6.0,may,328.0,2.0,-1.0,0.0,unknown,1
15419,48.0,technician,married,secondary,no,-280.0,yes,yes,cellular,18.0,jul,300.0,1.0,-1.0,0.0,unknown,1
6156,33.0,technician,married,secondary,no,-1040.0,yes,yes,unknown,27.0,may,130.0,1.0,-1.0,0.0,unknown,1
33322,34.0,blue-collar,married,secondary,no,470.0,yes,yes,cellular,20.0,apr,217.0,1.0,-1.0,0.0,unknown,1
41764,57.0,admin.,married,secondary,no,3927.0,no,no,cellular,13.0,oct,61.0,1.0,-1.0,0.0,unknown,1
27041,42.0,entrepreneur,married,secondary,no,215.0,yes,yes,cellular,21.0,nov,158.0,1.0,-1.0,0.0,unknown,1
897,38.0,admin.,single,secondary,no,100.0,yes,no,unknown,7.0,may,786.0,1.0,-1.0,0.0,unknown,2
20895,37.0,management,married,tertiary,no,887.0,no,no,cellular,13.0,aug,257.0,5.0,-1.0,0.0,unknown,1
19754,31.0,entrepreneur,single,secondary,no,37.0,no,no,cellular,8.0,aug,73.0,2.0,-1.0,0.0,unknown,1
30806,34.0,management,married,tertiary,no,0.0,no,no,cellular,6.0,feb,787.0,3.0,9.0,1.0,other,2
21796,46.0,admin.,married,secondary,no,979.0,yes,no,cellular,20.0,aug,80.0,5.0,-1.0,0.0,unknown,1
14376,52.0,self-employed,married,secondary,no,248.0,no,yes,cellular,14.0,jul,245.0,3.0,-1.0,0.0,unknown,1
11914,24.0,technician,single,primary,no,126.0,yes,no,unknown,20.0,jun,10.0,58.0,-1.0,0.0,unknown,1
5343,35.0,management,married,secondary,no,339.0,yes,no,unknown,23.0,may,317.0,1.0,-1.0,0.0,unknown,1
806,47.0,services,married,primary,no,222.0,yes,no,unknown,7.0,may,68.0,1.0,-1.0,0.0,unknown,1
33656,52.0,admin.,divorced,secondary,no,725.0,yes,no,cellular,20.0,apr,57.0,3.0,325.0,1.0,other,1
37523,49.0,entrepreneur,married,tertiary,no,4976.0,yes,no,cellular,13.0,may,36.0,9.0,173.0,1.0,failure,1
17147,30.0,blue-collar,single,secondary,no,363.0,no,no,cellular,28.0,jul,171.0,3.0,-1.0,0.0,unknown,1
14411,30.0,blue-collar,single,secondary,no,332.0,no,no,cellular,14.0,jul,465.0,3.0,-1.0,0.0,unknown,1
25451,35.0,management,divorced,tertiary,no,808.0,no,no,cellular,19.0,nov,89.0,1.0,-1.0,0.0,unknown,1
7142,38.0,retired,single,secondary,no,44.0,no,no,unknown,29.0,may,148.0,1.0,-1.0,0.0,unknown,1
38430,29.0,blue-collar,married,secondary,no,339.0,yes,no,cellular,15.0,may,63.0,3.0,354.0,2.0,failure,1
32012,32.0,admin.,divorced,secondary,no,410.0,yes,no,cellular,14.0,apr,129.0,1.0,-1.0,0.0,unknown,1
20407,46.0,unemployed,married,secondary,no,2551.0,no,no,cellular,12.0,aug,645.0,2.0,-1.0,0.0,unknown,2
30525,30.0,technician,married,secondary,no,436.0,yes,no,cellular,5.0,feb,138.0,3.0,206.0,8.0,other,1
16393,49.0,services,divorced,primary,no,90.0,no,no,cellular,23.0,jul,126.0,4.0,-1.0,0.0,unknown,1
12903,33.0,blue-collar,single,primary,yes,-15.0,no,yes,cellular,7.0,jul,326.0,2.0,-1.0,0.0,unknown,1
14567,59.0,blue-collar,divorced,secondary,no,0.0,no,yes,cellular,15.0,jul,237.0,4.0,-1.0,0.0,unknown,1
44267,37.0,technician,single,tertiary,no,0.0,yes,no,cellular,23.0,jul,366.0,6.0,-1.0,0.0,unknown,2
24860,50.0,services,divorced,secondary,no,330.0,yes,yes,cellular,18.0,nov,281.0,1.0,-1.0,0.0,unknown,1
41110,30.0,admin.,married,tertiary,no,591.0,yes,no,cellular,17.0,aug,115.0,1.0,-1.0,0.0,unknown,1
37495,55.0,retired,married,secondary,no,1279.0,yes,no,cellular,13.0,may,446.0,3.0,357.0,8.0,other,1
14275,34.0,technician,married,secondary,no,800.0,yes,no,cellular,14.0,jul,103.0,3.0,-1.0,0.0,unknown,1
35465,27.0,blue-collar,single,secondary,no,4.0,yes,no,cellular,7.0,may,153.0,2.0,-1.0,0.0,unknown,1
33750,66.0,retired,married,tertiary,no,2262.0,no,no,cellular,22.0,apr,155.0,1.0,-1.0,0.0,unknown,1
21051,30.0,management,single,secondary,no,1299.0,no,no,cellular,14.0,aug,515.0,2.0,-1.0,0.0,unknown,1
5161,49.0,blue-collar,married,secondary,no,913.0,yes,yes,unknown,21.0,may,178.0,3.0,-1.0,0.0,unknown,1
26504,53.0,blue-collar,married,primary,no,421.0,yes,no,cellular,20.0,nov,677.0,1.0,-1.0,0.0,unknown,2
31293,47.0,management,married,tertiary,no,2351.0,no,no,cellular,10.0,mar,80.0,1.0,-1.0,0.0,unknown,2
36734,35.0,technician,married,secondary,no,451.0,yes,yes,cellular,12.0,may,247.0,1.0,-1.0,0.0,unknown,1
27081,33.0,blue-collar,single,secondary,no,5739.0,yes,yes,cellular,21.0,nov,374.0,1.0,-1.0,0.0,unknown,1
11255,50.0,management,married,tertiary,no,3296.0,no,no,unknown,18.0,jun,255.0,2.0,-1.0,0.0,unknown,1
17475,47.0,blue-collar,married,primary,no,0.0,yes,yes,telephone,28.0,jul,107.0,3.0,-1.0,0.0,unknown,1
44097,47.0,management,single,tertiary,no,6651.0,no,no,cellular,8.0,jul,229.0,1.0,412.0,2.0,failure,2
7122,29.0,blue-collar,married,unknown,no,559.0,yes,no,unknown,29.0,may,182.0,2.0,-1.0,0.0,unknown,1
7932,27.0,blue-collar,single,primary,no,-79.0,yes,no,unknown,30.0,may,385.0,5.0,-1.0,0.0,unknown,1
32903,30.0,technician,married,secondary,no,-280.0,yes,no,cellular,17.0,apr,609.0,2.0,266.0,2.0,failure,1
41077,25.0,management,single,tertiary,no,528.0,no,no,cellular,14.0,aug,201.0,1.0,-1.0,0.0,unknown,2
18798,56.0,management,married,tertiary,no,-6.0,no,no,telephone,31.0,jul,29.0,16.0,-1.0,0.0,unknown,1
31339,60.0,technician,married,secondary,no,1740.0,no,no,cellular,13.0,mar,296.0,2.0,-1.0,0.0,unknown,2
1680,32.0,technician,single,tertiary,no,190.0,yes,yes,unknown,9.0,may,352.0,1.0,-1.0,0.0,unknown,1
37980,35.0,blue-collar,married,secondary,no,1287.0,yes,no,cellular,14.0,may,251.0,3.0,-1.0,0.0,unknown,1
26838,39.0,technician,single,secondary,no,18508.0,no,no,cellular,20.0,nov,1598.0,4.0,-1.0,0.0,unknown,2
33723,45.0,management,married,tertiary,no,212.0,no,no,cellular,21.0,apr,65.0,2.0,-1.0,0.0,unknown,2
36496,55.0,blue-collar,married,primary,no,1649.0,yes,no,cellular,12.0,may,52.0,3.0,-1.0,0.0,unknown,1
34050,34.0,self-employed,single,tertiary,no,5462.0,no,no,cellular,30.0,apr,430.0,1.0,-1.0,0.0,unknown,2
3385,42.0,services,married,unknown,no,8.0,yes,no,unknown,15.0,may,299.0,1.0,-1.0,0.0,unknown,1
11579,53.0,services,married,secondary,no,76.0,yes,no,unknown,19.0,jun,237.0,2.0,-1.0,0.0,unknown,1
26800,36.0,admin.,married,tertiary,no,75.0,no,yes,cellular,20.0,nov,97.0,2.0,-1.0,0.0,unknown,1
39563,30.0,management,single,tertiary,no,938.0,no,no,cellular,26.0,may,172.0,2.0,105.0,1.0,other,1
38586,30.0,technician,married,secondary,no,-910.0,yes,no,cellular,15.0,may,124.0,2.0,298.0,1.0,failure,1
21227,35.0,technician,married,secondary,no,-1041.0,yes,yes,cellular,18.0,aug,105.0,4.0,-1.0,0.0,unknown,1
25544,36.0,self-employed,married,secondary,no,189.0,yes,no,cellular,19.0,nov,136.0,1.0,120.0,1.0,failure,1
12687,51.0,management,married,tertiary,no,1421.0,yes,no,cellular,7.0,jul,152.0,5.0,-1.0,0.0,unknown,1
44296,23.0,student,single,secondary,no,794.0,no,no,cellular,26.0,jul,607.0,3.0,171.0,3.0,other,2
13731,26.0,blue-collar,single,secondary,no,-29.0,yes,no,cellular,10.0,jul,998.0,4.0,-1.0,0.0,unknown,2
36806,30.0,technician,single,secondary,no,249.0,no,no,cellular,12.0,may,406.0,1.0,-1.0,0.0,unknown,1
14363,44.0,blue-collar,married,primary,no,3113.0,no,no,cellular,14.0,jul,331.0,2.0,-1.0,0.0,unknown,1
41015,30.0,admin.,single,tertiary,no,305.0,no,no,cellular,13.0,aug,75.0,1.0,105.0,3.0,success,1
15714,58.0,admin.,married,secondary,no,1455.0,yes,no,cellular,21.0,jul,119.0,1.0,-1.0,0.0,unknown,1
6747,50.0,blue-collar,married,primary,no,1203.0,yes,yes,unknown,28.0,may,66.0,7.0,-1.0,0.0,unknown,1
43115,32.0,management,married,tertiary,no,302.0,yes,yes,unknown,23.0,feb,61.0,1.0,384.0,2.0,failure,2
28827,51.0,admin.,married,secondary,no,0.0,yes,yes,cellular,30.0,jan,150.0,1.0,252.0,1.0,failure,1
44346,34.0,admin.,married,tertiary,no,0.0,no,no,cellular,30.0,jul,292.0,1.0,183.0,2.0,success,2
9299,39.0,technician,single,tertiary,no,1646.0,yes,no,unknown,5.0,jun,474.0,2.0,-1.0,0.0,unknown,1
14010,29.0,management,married,tertiary,no,6586.0,no,no,cellular,10.0,jul,176.0,1.0,-1.0,0.0,unknown,1
